Entity,HomicideRate,GunsPer100Persons
Afghanistan,6.7920213,12.5
Albania,2.0012128,12.0
Algeria,1.2569172,2.1
American Samoa,13.569573,0.7
Antigua and Barbuda,22.107264,5.4
Argentina,5.2315598,7.4
Armenia,2.4014022,6.1
Australia,0.84104836,14.5
Austria,0.79556507,30.0
Azerbaijan,1.8257494,3.6
Bahamas,31.243198,18.8
Bahrain,0.40485966,12.8
Bangladesh,2.1882265,0.4
Barbados,10.7077465,3.5
Belarus,2.527436,6.1
Belize,38.04915,10.0
Bermuda,7.8642936,4.6
Bhutan,1.7233734,0.8
Bolivia,6.5846376,2.0
Bosnia and Herzegovina,1.2249603,31.2
Brazil,31.161175,8.3
Bulgaria,1.4556997,8.4
Cameroon,4.161037,2.1
Canada,1.8066481,34.7
Cayman Islands,4.6486044,9.2
Chile,4.1974545,12.1
China,0.5657219,3.6
Colombia,25.551058,10.1
Costa Rica,12.273118,10.0
Croatia,1.1276721,13.7
Cuba,4.587552,2.1
Denmark,1.2315339,9.9
Dominica,27.738644,6.2
Dominican Republic,11.399812,7.4
Ecuador,5.7877555,2.4
Egypt,1.3115252,4.1
El Salvador,63.76404,12.0
England and Wales,1.1864921,4.6
Estonia,2.2012646,5.0
Finland,1.216325,32.4
France,1.087543,19.6
Georgia,2.3992455,10.1
Germany,0.97829217,19.6
Ghana,2.029435,8.0
Greece,0.79973716,17.6
Grenada,10.39519,4.6
Guatemala,32.805473,12.1
Guinea-Bissau,1.118764,1.5
Guyana,14.964635,15.8
Honduras,40.2998,14.1
Hungary,1.6350548,10.5
Iceland,0.8732824,31.7
India,3.0766573,5.3
Ireland,0.789978,7.2
Israel,1.6264447,6.7
Italy,0.62261635,14.4
Jamaica,58.492126,8.8
Japan,0.24082221,0.3
Jordan,1.2995609,18.7
Kazakhstan,4.9056582,2.8
Kenya,5.0124226,1.5
Kosovo,2.7147493,23.8
Kuwait,1.1071839,16.7
Latvia,4.1696825,10.5
Lebanon,3.9934235,31.9
Liechtenstein,2.641973,28.8
Lithuania,3.5344276,13.6
Luxembourg,0.3352917,18.9
Malaysia,1.1713567,0.7
Malta,1.9234776,28.3
Mauritius,2.5568414,8.3
Mexico,25.995935,12.9
Mongolia,6.152629,7.9
Montenegro,2.418912,39.1
Morocco,2.146904,4.8
Myanmar,2.6823425,1.6
Nepal,2.2490957,1.5
Netherlands,0.7623285,2.6
New Zealand,0.7272347,26.3
Nicaragua,6.823689,5.2
Northern Ireland,1.2828503,11.0
Norway,0.5306244,28.8
Oman,0.3746642,16.7
Pakistan,3.688294,22.3
Panama,9.222421,10.8
Paraguay,8.534926,16.7
Peru,7.939438,2.0
Philippines,7.6470804,3.6
Poland,0.75022954,2.5
Portugal,0.7356611,21.3
Puerto Rico,21.59037,11.5
Qatar,0.44334275,16.7
Romania,1.295113,2.6
Rwanda,3.8518085,0.5
Saint Kitts and Nevis,48.883648,3.4
Saint Lucia,27.786915,3.4
Saint Vincent and the Grenadines,36.909798,3.4
Samoa,3.407744,10.1
Scotland,1.0875977,5.6
Serbia,1.2158043,39.1
Seychelles,6.22629,4.1
Singapore,0.19628562,0.3
Slovakia,1.4717515,6.5
Slovenia,0.9212523,15.6
South Africa,35.284016,9.7
Spain,0.6550228,7.5
Sri Lanka,2.2003374,2.4
Suriname,6.0635357,15.9
Sweden,1.1234993,23.1
Switzerland,0.53231585,27.6
Trinidad and Tobago,34.24988,3.2
Turkey,3.058363,16.5
Uganda,11.785236,0.8
Ukraine,6.0546646,9.9
Uruguay,8.351933,34.7
Uzbekistan,1.8573705,0.4
Venezuela,47.979206,18.5
