Entity,HomicideRate,Gini,Share10,GDPperCapita
Albania,1.6975479,0.492,34.66,19388.873
Argentina,4.3120246,0.5721,43.23,27825.027
Australia,0.8396631,0.4923,35.17,60029.133
Brazil,21.096361,0.6973,59.39,18554.047
Bulgaria,1.1134121,0.5563,44.99,32433.793
Canada,2.271951,0.5047,36.78,58321.062
Chile,6.8020124,0.7054,59.47,29569.479
Colombia,24.948807,0.7492,63.31,18458.72
Costa Rica,12.908902,0.6535,49.53,24831.719
Croatia,0.7934422,0.4715,34.76,39864.01
Cyprus,0.6008848,0.4491,33.24,50623.797
Czechia,0.81512475,0.3812,29.03,48390.66
Denmark,0.9825673,0.4417,33.31,69475.32
Dominican Republic,12.367847,0.6059,45.42,22986.959
Ecuador,27.412636,0.6125,45.65,14186.639
El Salvador,7.897688,0.5963,42.4,11085.618
Estonia,1.481381,0.5422,42.28,43128.633
Finland,1.2389351,0.433,32.25,57068.305
France,1.2387328,0.4592,34.4,53673.812
Germany,0.8158292,0.49,37.64,63676.086
Greece,1.1236516,0.4534,33.53,35831.344
Hong Kong,0.40182617,0.5932,48.18,64036.645
Hungary,0.9706426,0.4328,33.37,40610.973
India,2.8153043,0.6392,58.89,8594.392
Ireland,0.8610541,0.4792,36.94,123219.08
Latvia,3.5618157,0.4926,35.66,37718.71
Lithuania,2.3784847,0.5026,36.11,46651.215
Luxembourg,1.5306611,0.4595,33.95,132570.83
Malaysia,0.6917325,0.4807,36.53,32129.223
Mexico,25.881496,0.7087,59.07,21391.857
Netherlands,0.79868543,0.4241,29.98,71324.04
New Zealand,1.4614942,0.4649,35,49964.176
Norway,0.5497726,0.4055,30.65,91051.086
Poland,0.70338625,0.4857,37.7,43405.023
Portugal,0.71997195,0.4656,35.44,41070.86
Romania,1.2886885,0.541,41.1,39256.99
Serbia,1.0896432,0.5154,38.65,24651.95
Slovakia,0.76737607,0.3785,26.78,38664.906
Slovenia,0.61459094,0.4072,29.61,47050.066
South Korea,0.49630657,0.5032,37.76,53228.605
Spain,0.67951286,0.4464,34.25,46733.48
Sweden,1.1060958,0.3971,29.71,63088.42
Switzerland,0.4776971,0.4234,32.01,82777.3
Turkey,2.6212268,0.6238,54.54,33520.812
United States,6.5126743,0.5883,46.86,72679.26
Uruguay,11.294893,0.5583,44.3,30804.703
World,5.2869196,0.6789,53.84,20409.441
