Entity,Code,Year,LifeExpectancy,HealthExpenditurePerCapita
Australia,AUS,1970,71.451,1068.553
Australia,AUS,1971,71.451,1068.553
Australia,AUS,1972,71.768,1098.255
Australia,AUS,1973,72.058,1154.268
Australia,AUS,1974,71.849,1281.742
Australia,AUS,1975,72.783,1443.364
Australia,AUS,1976,72.787,1482.962
Australia,AUS,1977,73.472,1543.461
Australia,AUS,1978,73.74,1550.516
Australia,AUS,1979,74.327,1551.811
Australia,AUS,1980,74.566,1576.812
Australia,AUS,1981,74.783,1631.727
Australia,AUS,1982,74.719,1630.671
Australia,AUS,1983,75.44,1679.606
Australia,AUS,1984,75.51,1715.433
Australia,AUS,1985,75.43,1761.864
Australia,AUS,1986,76.072,1822.529
Australia,AUS,1987,76.083,1859.7
Australia,AUS,1988,76.344,1932.778
Australia,AUS,1989,76.197,1976.082
Australia,AUS,1990,77.041,2011.106
Australia,AUS,1991,77.481,2058.53
Australia,AUS,1992,77.473,2119.374
Australia,AUS,1993,78.006,2174.836
Australia,AUS,1994,77.852,2256.867
Australia,AUS,1995,78.257,2335.504
Australia,AUS,1996,78.344,2442.051
Australia,AUS,1997,78.626,2527.816
Australia,AUS,1998,79.02,2662.501
Australia,AUS,1999,79.277,2787.023
Australia,AUS,2000,79.621,2918.623
Australia,AUS,2001,80.006,3040.318
Australia,AUS,2002,80.052,3181.737
Australia,AUS,2003,80.44,3333.785
Australia,AUS,2004,80.733,3549.301
Australia,AUS,2005,81.092,3613.865
Australia,AUS,2006,81.258,3750.505
Australia,AUS,2007,81.232,3896.638
Australia,AUS,2008,81.427,4051.114
Australia,AUS,2009,81.728,4136.754
Australia,AUS,2010,82.013,4268.681
Australia,AUS,2011,82.091,4407.115
Australia,AUS,2012,82.297,4404.788
Australia,AUS,2013,82.551,4451.152
Australia,AUS,2014,82.518,4941.936
Australia,AUS,2015,82.605,5072.794
Australia,AUS,2016,82.801,5228.105
Australia,AUS,2017,82.718,5331.259
Australia,AUS,2018,83.258,5442.379
Australia,AUS,2019,83.241,5458.392
Australia,AUS,2020,83.664,5855.181
Australia,AUS,2021,83.564,6229.427
Australia,AUS,2022,82.766,6025.396
Australia,AUS,2023,83.923,6075.151
China,CHN,1995,72.288,175.682
China,CHN,1996,72.288,175.682
China,CHN,1997,72.288,175.682
China,CHN,1998,72.288,175.682
China,CHN,1999,72.288,175.682
China,CHN,2000,72.288,175.682
China,CHN,2001,72.675,178.12
China,CHN,2002,73.034,198.976
China,CHN,2003,73.385,219.404
China,CHN,2004,73.727,233.084
China,CHN,2005,74.085,252.455
China,CHN,2006,74.404,266.934
China,CHN,2007,74.789,282.201
China,CHN,2008,74.833,324.482
China,CHN,2009,75.317,393.29
China,CHN,2010,75.668,417.713
China,CHN,2011,75.889,467.801
China,CHN,2012,76.2,531.196
China,CHN,2013,76.452,589.069
China,CHN,2014,76.714,635.87
China,CHN,2015,76.975,698.837
China,CHN,2016,77.214,744.775
China,CHN,2017,77.235,804.146
China,CHN,2018,77.709,871.683
China,CHN,2019,77.94,960.935
China,CHN,2020,78.019,1030.111
China,CHN,2021,78.117,1058.264
China,CHN,2022,78.202,1222.4
China,CHN,2023,77.953,1305.46
Germany,DEU,1970,70.678,1702.127
Germany,DEU,1971,70.912,1913.09
Germany,DEU,1972,71.148,2073.733
Germany,DEU,1973,71.362,2236.716
Germany,DEU,1974,71.678,2394.559
Germany,DEU,1975,71.516,2595.155
Germany,DEU,1976,71.979,2728.955
Germany,DEU,1977,72.59,2806.318
Germany,DEU,1978,72.57,2957.99
Germany,DEU,1979,72.918,2986.712
Germany,DEU,1980,73.088,3060.685
Germany,DEU,1981,73.331,3137.332
Germany,DEU,1982,73.628,3054.491
Germany,DEU,1983,73.918,3096.876
Germany,DEU,1984,74.38,3226.842
Germany,DEU,1985,74.492,3380.133
Germany,DEU,1986,74.695,3532.426
Germany,DEU,1987,75.107,3653.202
Germany,DEU,1988,75.281,3842.882
Germany,DEU,1989,75.467,3638.544
Germany,DEU,1990,75.341,3765.272
Germany,DEU,1991,75.341,3765.272
Germany,DEU,1992,76.004,3957.713
Germany,DEU,1993,76.08,3901.352
Germany,DEU,1994,76.38,4100.344
Germany,DEU,1995,76.552,4305.168
Germany,DEU,1996,76.783,4464.169
Germany,DEU,1997,77.218,4470.988
Germany,DEU,1998,77.576,4596.932
Germany,DEU,1999,77.798,4698.069
Germany,DEU,2000,78.056,4806.233
Germany,DEU,2001,78.402,4858.775
Germany,DEU,2002,78.475,4964.458
Germany,DEU,2003,78.536,5023.827
Germany,DEU,2004,79.119,4971.318
Germany,DEU,2005,79.254,5057.386
Germany,DEU,2006,79.586,5148.366
Germany,DEU,2007,79.731,5247.152
Germany,DEU,2008,79.816,5374.547
Germany,DEU,2009,79.915,5662.417
Germany,DEU,2010,80.081,5782.66
Germany,DEU,2011,80.355,5794.192
Germany,DEU,2012,80.502,5846.723
Germany,DEU,2013,80.454,5941.813
Germany,DEU,2014,80.906,6093.697
Germany,DEU,2015,80.566,6296.315
Germany,DEU,2016,80.837,6452.71
Germany,DEU,2017,80.937,6627.465
Germany,DEU,2018,80.875,6763.583
Germany,DEU,2019,81.189,6986.616
Germany,DEU,2020,81.004,7362.902
Germany,DEU,2021,81.106,7761.694
Germany,DEU,2022,80.58,7675.075
Germany,DEU,2023,81.378,7230.747
India,IND,1995,62.749,118.853
India,IND,1996,62.749,118.853
India,IND,1997,62.749,118.853
India,IND,1998,62.749,118.853
India,IND,1999,62.749,118.853
India,IND,2000,62.749,118.853
India,IND,2001,63.158,129.452
India,IND,2002,63.649,132.181
India,IND,2003,64.086,132.984
India,IND,2004,64.484,142.638
India,IND,2005,64.939,148.046
India,IND,2006,65.373,153.135
India,IND,2007,65.803,161.46
India,IND,2008,66.247,167.772
India,IND,2009,66.7,176.466
India,IND,2010,67.162,181.105
India,IND,2011,67.623,184.267
India,IND,2012,68.076,195.532
India,IND,2013,68.499,228.136
India,IND,2014,68.932,229.645
India,IND,2015,69.326,240.1
India,IND,2016,69.709,248.707
India,IND,2017,70.068,220.903
India,IND,2018,70.415,225.668
India,IND,2019,70.746,236.137
India,IND,2020,70.156,249.68
India,IND,2021,67.282,277.286
India,IND,2022,71.698,297.521
India,IND,2023,72.003,312.491
Ireland,IRL,1970,70.834,566.081
Ireland,IRL,1971,71.621,692.993
Ireland,IRL,1972,70.955,760.453
Ireland,IRL,1973,71.17,828.417
Ireland,IRL,1974,71.112,841.954
Ireland,IRL,1975,71.689,902.982
Ireland,IRL,1976,71.797,887.538
Ireland,IRL,1977,71.94,896.157
Ireland,IRL,1978,71.93,1021.017
Ireland,IRL,1979,72.179,1080.989
Ireland,IRL,1980,72.536,1175.508
Ireland,IRL,1981,72.888,1115.025
Ireland,IRL,1982,73.155,1109.218
Ireland,IRL,1983,73.178,1117.558
Ireland,IRL,1984,73.622,1122.493
Ireland,IRL,1985,73.561,1160.444
Ireland,IRL,1986,73.611,1160.729
Ireland,IRL,1987,74.407,1158.998
Ireland,IRL,1988,74.425,1158.898
Ireland,IRL,1989,74.451,1171.722
Ireland,IRL,1990,74.838,1203.156
Ireland,IRL,1991,75.027,1298.849
Ireland,IRL,1992,75.423,1383.954
Ireland,IRL,1993,75.289,1457.79
Ireland,IRL,1994,75.796,1496.951
Ireland,IRL,1995,75.474,1592.125
Ireland,IRL,1996,75.826,1632.804
Ireland,IRL,1997,75.977,1781.738
Ireland,IRL,1998,76.185,1895.107
Ireland,IRL,1999,76.089,2073.652
Ireland,IRL,2000,76.535,2410.422
Ireland,IRL,2001,77.1,2761.42
Ireland,IRL,2002,77.59,2993.323
Ireland,IRL,2003,78.1,3175.996
Ireland,IRL,2004,78.503,3361.118
Ireland,IRL,2005,78.909,3721.145
Ireland,IRL,2006,79.15,3758.61
Ireland,IRL,2007,79.563,3918.955
Ireland,IRL,2008,79.788,4177.278
Ireland,IRL,2009,80.095,4550.639
Ireland,IRL,2010,80.599,4560.176
Ireland,IRL,2011,80.727,4625.199
Ireland,IRL,2012,80.852,4638.322
Ireland,IRL,2013,81.065,4511.761
Ireland,IRL,2014,81.406,4492.459
