Entity,Code,Year,LifeExpectancy,HealthExpenditurePerCapita,WorldRegionAccordingToOWID,Health expenditure per capita (Original Year),Life expectancy (Original Year)
Albania,ALB,1995,74.826,314.867,Europe,2000,2000
Albania,ALB,1996,74.826,314.867,Europe,2000,2000
Albania,ALB,1997,74.826,314.867,Europe,2000,2000
Albania,ALB,1998,74.826,314.867,Europe,2000,2000
Albania,ALB,1999,74.826,314.867,Europe,2000,2000
Albania,ALB,2000,74.826,314.867,Europe,,
Albania,ALB,2001,75.083,345.379,Europe,,
Albania,ALB,2002,75.299,346.572,Europe,,
Albania,ALB,2003,75.557,394.279,Europe,,
Albania,ALB,2004,75.951,426.142,Europe,,
Albania,ALB,2005,76.427,442.649,Europe,,
Albania,ALB,2006,76.994,460.909,Europe,,
Albania,ALB,2007,77.691,518.602,Europe,,
Albania,ALB,2008,78.248,529.22,Europe,,
Albania,ALB,2009,78.509,581.005,Europe,,
Albania,ALB,2010,78.414,665.381,Europe,,
Albania,ALB,2011,78.303,671.974,Europe,,
Albania,ALB,2012,78.084,678.334,Europe,,
Albania,ALB,2013,77.995,694.662,Europe,,
Albania,ALB,2014,78.029,729.956,Europe,,
Albania,ALB,2015,78.358,752.131,Europe,,
Albania,ALB,2016,78.643,811.895,Europe,,
Albania,ALB,2017,78.9,814.487,Europe,,
Albania,ALB,2018,79.238,861.653,Europe,,
Albania,ALB,2019,79.467,909.33,Europe,,
Albania,ALB,2020,77.824,963.791,Europe,,
Albania,ALB,2021,76.844,1042.842,Europe,,
Albania,ALB,2022,78.769,1154.636,Europe,,
Albania,ALB,2023,79.602,1224.075,Europe,,
Argentina,ARG,1999,74.871,1459.974,South America,2004,2004
Argentina,ARG,2000,74.871,1459.974,South America,2004,2004
Argentina,ARG,2001,74.871,1459.974,South America,2004,2004
Argentina,ARG,2002,74.871,1459.974,South America,2004,2004
Argentina,ARG,2003,74.871,1459.974,South America,2004,2004
Argentina,ARG,2004,74.871,1459.974,South America,,
Argentina,ARG,2005,75.231,1703.605,South America,,
Argentina,ARG,2006,75.279,1833.837,South America,,
Argentina,ARG,2007,74.783,2025.439,South America,,
Argentina,ARG,2008,75.428,2212.561,South America,,
Argentina,ARG,2009,75.577,2375.978,South America,,
Argentina,ARG,2010,75.68,2554.378,South America,,
Argentina,ARG,2011,76.1,2736.22,South America,,
Argentina,ARG,2012,75.802,2796.28,South America,,
Argentina,ARG,2013,75.829,2842.982,South America,,
Argentina,ARG,2014,76.268,2701.871,South America,,
Argentina,ARG,2015,76.6,2862.075,South America,,
Argentina,ARG,2016,76.105,2773.955,South America,,
Argentina,ARG,2017,76.543,2882.928,South America,,
Argentina,ARG,2018,76.77,2780.539,South America,,
Argentina,ARG,2019,76.847,2625.546,South America,,
Argentina,ARG,2020,75.878,2478.095,South America,,
Argentina,ARG,2021,73.948,2907.012,South America,,
Argentina,ARG,2022,75.806,2875.994,South America,,
Argentina,ARG,2023,77.395,2851.414,South America,,
Australia,AUS,1970,71.451,1068.553,Oceania,1971,1971
Australia,AUS,1971,71.451,1068.553,Oceania,,
Australia,AUS,1972,71.768,1098.255,Oceania,,
Australia,AUS,1973,72.058,1154.268,Oceania,,
Australia,AUS,1974,71.849,1281.742,Oceania,,
Australia,AUS,1975,72.783,1443.364,Oceania,,
Australia,AUS,1976,72.787,1482.962,Oceania,,
Australia,AUS,1977,73.472,1543.461,Oceania,,
Australia,AUS,1978,73.74,1550.516,Oceania,,
Australia,AUS,1979,74.327,1551.811,Oceania,,
Australia,AUS,1980,74.566,1576.812,Oceania,,
Australia,AUS,1981,74.783,1631.727,Oceania,,
Australia,AUS,1982,74.719,1630.671,Oceania,,
Australia,AUS,1983,75.44,1679.606,Oceania,,
Australia,AUS,1984,75.51,1715.433,Oceania,,
