anno,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1861,1465,1157,1056,1079,934,945,705,842,541,611,403,444,247,225,107,79,25,12,2,1,0
1871,1526,1434,1320,1241,1176,1046,967,829,845,683,682,430,485,268,217,91,64,18,7,2,0
1881,1688,1479,1327,1334,1233,1078,1042,891,902,689,738,532,548,284,244,103,62,13,5,1,0
1901,2061,1750,1674,1526,1335,1134,1054,983,926,827,797,674,587,422,302,168,75,19,5,1,0
1911,2116,1840,1808,1673,1521,1309,1146,1018,947,881,838,703,652,479,347,185,90,27,6,1,0
1921,1736,1989,2058,1862,1703,1500,1374,1214,1079,966,860,781,713,527,401,220,107,32,8,1,0
1931,2246,2205,1567,2014,1914,1650,1520,1370,1273,1131,980,856,743,634,468,282,135,42,7,1,0
1936,2141,2153,2190,1537,1958,1839,1582,1468,1321,1216,1078,915,783,641,505,321,156,53,10,1,0
1951,2113,1893,2074,2004,2039,2024,1477,1757,1714,1477,1327,1179,1042,844,605,398,196,77,15,2,0
1961,2044,1948,2070,1860,2013,1894,1944,1949,1415,1690,1633,1383,1209,1014,808,542,280,111,27,5,0
1971,2156,2252,2041,1889,2013,1752,1939,1845,1883,1871,1357,1574,1539,1263,988,677,403,166,45,9,0
1981,1635,2052,2224,2303,2046,1906,2004,1777,1921,1817,1848,1817,1286,1442,1258,878,525,233,67,11,1
1991,1335,1404,1646,2108,2231,2302,2045,1908,1975,1737,1865,1749,1743,1659,1105,1106,787,375,116,22,3
2001,1275,1304,1365,1446,1685,2109,2260,2310,2041,1889,1954,1705,1808,1653,1574,1373,790,574,241,49,5
2011,1336,1350,1355,1390,1496,1635,1898,2293,2417,2416,2121,1917,1935,1638,1685,1434,1196,792,285,88,13
2021,1078,1252,1378,1380,1408,1479,1592,1736,2007,2363,2441,2363,2045,1821,1832,1407,1325,883,443,123,14
