anno,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1861,1495,1189,1084,959,915,912,720,850,571,602,438,434,270,220,118,80,29,12,2,1,0
1871,1571,1483,1369,1176,1169,1027,957,835,848,700,700,449,487,288,225,102,62,18,5,1,0
1881,1751,1530,1383,1301,1213,1050,1015,886,893,692,723,539,542,301,248,117,61,14,4,1,0
1901,2147,1812,1714,1495,1305,1071,995,952,894,810,760,664,560,414,297,172,72,18,4,1,0
1911,2197,1911,1862,1560,1393,1131,1023,931,884,846,805,690,624,477,334,184,84,25,5,1,0
1921,1813,2062,2131,1879,1627,1307,1206,1093,1023,947,841,775,687,518,385,220,95,28,5,1,0
1931,2328,2278,1619,2032,1910,1565,1350,1139,1071,992,904,809,694,597,430,256,115,33,5,0,0
1936,2220,2214,2246,1577,1992,1839,1536,1324,1114,1032,949,843,730,589,463,282,130,39,6,1,0
1951,2219,1981,2141,2037,2063,1960,1382,1675,1665,1409,1183,950,837,689,516,334,154,55,10,1,0
1961,2152,2031,2159,1917,2060,1900,1919,1859,1314,1597,1558,1268,1010,751,590,399,205,76,16,3,0
1971,2272,2366,2142,1961,2081,1755,1917,1805,1840,1757,1228,1430,1371,1043,715,419,244,98,26,6,0
1981,1727,2163,2326,2387,2098,1912,1996,1759,1875,1748,1745,1621,1080,1165,936,559,276,101,28,4,0
1991,1414,1481,1728,2190,2303,2342,2065,1902,1952,1699,1786,1621,1546,1339,805,731,441,165,42,7,1
2001,1344,1375,1441,1518,1739,2138,2284,2314,2025,1850,1895,1620,1658,1427,1229,913,445,268,88,14,1
2011,1414,1431,1440,1479,1557,1641,1884,2272,2378,2356,2026,1809,1805,1482,1428,1082,749,381,106,24,2
2021,1139,1226,1464,1477,1550,1566,1634,1748,2002,2329,2377,2261,1901,1653,1610,1141,953,513,186,35,3
