Year,CrudeOilPrice ($/mc)
1861,3.0820022
1862,6.6042895
1863,19.81287
1864,50.69579
1865,41.449783
1866,23.523851
1867,15.158419
1868,22.831974
1869,22.894873
1870,24.278627
1871,27.297733
1872,22.894873
1873,11.510334
1874,7.3590655
1875,8.49123
1876,16.101887
1877,15.221316
1878,7.4848623
1879,5.4092283
1880,5.97531
1881,5.4092283
1882,4.906044
1883,6.2898
1884,5.283432
1885,5.535024
1886,4.465758
1887,4.214166
1888,5.535024
1889,5.912412
1890,5.472126
1891,4.214166
1892,3.522288
1893,4.0254717
1894,5.283432
1895,8.554128
1896,7.4219637
1897,4.968942
1898,5.723718
1899,8.113842
1900,7.4848623
1901,6.038208
1902,5.03184
1903,5.912412
1904,5.4092283
1905,3.899676
1906,4.591554
1907,4.528656
1908,4.528656
1909,4.4028597
1910,3.8367782
1911,3.8367782
1912,4.654452
1913,5.97531
1914,5.094738
1915,4.0254717
1916,6.9187803
1917,9.812088
1918,12.453804
1919,12.642498
1920,19.309685
1921,10.881354
1922,10.126578
1923,8.428332
1924,8.994413
1925,10.566864
1926,11.824824
1927,8.17674
1928,7.3590655
1929,7.9880457
1930,7.4848623
1931,4.08837
1932,5.472126
1933,4.214166
1934,6.2898
1935,6.101106
1936,6.855882
1937,7.4219637
1938,7.107474
1939,6.415596
1940,6.415596
1941,7.170372
1942,7.4848623
1943,7.5477605
1944,7.610658
1945,6.6042895
1946,7.044576
1947,11.95062
1948,12.516702
1949,11.195844
1950,10.755558
1951,10.755558
1952,10.755558
1953,12.139314
1954,12.139314
1955,12.139314
1956,12.139314
1957,11.95062
1958,13.082784
1959,13.082784
1960,11.95062
1961,11.32164
1962,11.32164
1963,11.32164
1964,11.32164
1965,11.32164
1966,11.32164
1967,11.32164
1968,11.32164
1969,11.32164
1970,11.32164
1971,14.089152
1972,15.598704
1973,20.693441
1974,72.835884
1975,72.52139
1976,80.50944
1977,87.554016
1978,88.183
1979,198.82059
1980,231.65335
1981,225.99252
1982,207.37471
1983,185.86359
1984,181.02045
1985,173.34688
1986,90.76182
1987,115.95271
1988,93.86798
1989,114.6386
1990,149.23067
1991,125.80175
1992,121.5242
1993,106.748184
1994,99.4897
1995,107.03151
1996,130.00066
1997,120.08856
1998,79.978966
1999,113.02819
2000,179.23068
2001,153.7472
2002,157.39128
2003,181.33936
2004,240.6792
2005,342.92673
2006,409.74313
2007,455.3128
2008,611.72064
2009,387.89993
2010,500.01102
2011,699.77545
2012,702.38007
2013,683.4403
2014,622.3506
2015,329.50226
2016,275.07916
2017,340.85962
2018,448.526
2019,403.87164
2020,263.15482
2021,446.02164
2022,637.28253
2023,519.80347
2024,507.96426
